Distribución;local;dia;bloque_30min;porcentaje_ventas
glovo&local;LLURIA;SABADO;7:00:00;0
glovo&local;LLURIA;SABADO;7:30:00;0
glovo&local;LLURIA;SABADO;8:00:00;0
glovo&local;LLURIA;SABADO;8:30:00;0
glovo&local;LLURIA;SABADO;9:00:00;0.000134525
glovo&local;LLURIA;SABADO;9:30:00;0.000110173
glovo&local;LLURIA;SABADO;10:00:00;7.90707E-05
glovo&local;LLURIA;SABADO;10:30:00;0.000100682
glovo&local;LLURIA;SABADO;11:00:00;0.000125936
glovo&local;LLURIA;SABADO;11:30:00;0.000212106
glovo&local;LLURIA;SABADO;12:00:00;0.00352738
glovo&local;LLURIA;SABADO;12:30:00;0.004038969
glovo&local;LLURIA;SABADO;13:00:00;0.00673829
glovo&local;LLURIA;SABADO;13:30:00;0.009211358
glovo&local;LLURIA;SABADO;14:00:00;0.011925886
glovo&local;LLURIA;SABADO;14:30:00;0.014602235
glovo&local;LLURIA;SABADO;15:00:00;0.013511689
glovo&local;LLURIA;SABADO;15:30:00;0.012941357
glovo&local;LLURIA;SABADO;16:00:00;0.011859992
glovo&local;LLURIA;SABADO;16:30:00;0.010902742
glovo&local;LLURIA;SABADO;17:00:00;0.008029498
glovo&local;LLURIA;SABADO;17:30:00;0.00683941
glovo&local;LLURIA;SABADO;18:00:00;0.005847361
glovo&local;LLURIA;SABADO;18:30:00;0.006148135
glovo&local;LLURIA;SABADO;19:00:00;0.006704996
glovo&local;LLURIA;SABADO;19:30:00;0.007273168
glovo&local;LLURIA;SABADO;20:00:00;0.008066935
glovo&local;LLURIA;SABADO;20:30:00;0.008504125
glovo&local;LLURIA;SABADO;21:00:00;0.009193226
glovo&local;LLURIA;SABADO;21:30:00;0.009113357
glovo&local;LLURIA;SABADO;22:00:00;0.010151981
glovo&local;LLURIA;SABADO;22:30:00;0.009548277
glovo&local;LLURIA;SABADO;23:00:00;0.008392344
glovo&local;LLURIA;SABADO;23:30:00;0.004656088
glovo&local;LLURIA;DOMINGO;0:00:00;0
glovo&local;LLURIA;DOMINGO;0:30:00;0
glovo&local;LLURIA;DOMINGO;1:00:00;0
glovo&local;LLURIA;DOMINGO;1:30:00;0
glovo&local;LLURIA;DOMINGO;2:00:00;0
glovo&local;LLURIA;DOMINGO;2:30:00;0
glovo&local;LLURIA;DOMINGO;3:00:00;0
glovo&local;LLURIA;DOMINGO;3:30:00;0
glovo&local;LLURIA;DOMINGO;4:00:00;0
glovo&local;LLURIA;DOMINGO;4:30:00;0
glovo&local;LLURIA;DOMINGO;5:00:00;0
glovo&local;LLURIA;DOMINGO;5:30:00;0
glovo&local;LLURIA;DOMINGO;6:00:00;0
glovo&local;LLURIA;DOMINGO;6:30:00;0
glovo&local;LLURIA;DOMINGO;7:00:00;0
glovo&local;LLURIA;DOMINGO;7:30:00;0
glovo&local;LLURIA;DOMINGO;8:00:00;0
glovo&local;LLURIA;DOMINGO;8:30:00;0
glovo&local;LLURIA;DOMINGO;9:00:00;0.000128623
glovo&local;LLURIA;DOMINGO;9:30:00;0.000105339
glovo&local;LLURIA;DOMINGO;10:00:00;7.56017E-05
glovo&local;LLURIA;DOMINGO;10:30:00;9.62651E-05
glovo&local;LLURIA;DOMINGO;11:00:00;0.000120411
glovo&local;LLURIA;DOMINGO;11:30:00;0.0002028
glovo&local;LLURIA;DOMINGO;12:00:00;0.003372627
glovo&local;LLURIA;DOMINGO;12:30:00;0.003861772
glovo&local;LLURIA;DOMINGO;13:00:00;0.006442669
glovo&local;LLURIA;DOMINGO;13:30:00;0.008807238
glovo&local;LLURIA;DOMINGO;14:00:00;0.011402675
glovo&local;LLURIA;DOMINGO;14:30:00;0.013961607
glovo&local;LLURIA;DOMINGO;15:00:00;0.012918905
glovo&local;LLURIA;DOMINGO;15:30:00;0.012373595
glovo&local;LLURIA;DOMINGO;16:00:00;0.011339672
glovo&local;LLURIA;DOMINGO;16:30:00;0.010424418
glovo&local;LLURIA;DOMINGO;17:00:00;0.007677229
glovo&local;LLURIA;DOMINGO;17:30:00;0.006539352
glovo&local;LLURIA;DOMINGO;18:00:00;0.005590826
glovo&local;LLURIA;DOMINGO;18:30:00;0.005878404
glovo&local;LLURIA;DOMINGO;19:00:00;0.006410835
glovo&local;LLURIA;DOMINGO;19:30:00;0.00695408
glovo&local;LLURIA;DOMINGO;20:00:00;0.007713023
glovo&local;LLURIA;DOMINGO;20:30:00;0.008131033
